"","",""
"Abronia","sand verbena","SD(Custer, Fall River)"
"Amaranthus tuberculatus","roughfruit amaranth","SD(Beadle, Bennett, Brookings, Buffalo, Charles Mix, Clay, Douglas, Gregory, Hughes, Hutchinson, Kingsbury, Stanley, Union, Yankton)"
"Ambrosia","ragweed","SD(Aurora, Beadle, Bennett, Bon Homme, Brookings, Brown, Brule, Buffalo, Campbell, Charles Mix, Clay, Codington, Corson, Custer, Davison, Day, Douglas, Fall River, Faulk, Gregory, Hamlin, Hand, Harding, Hughes, Hyde, Jerauld, Jones, Lawrence, Lincoln, Marshall, Meade, Miner, Pennington, Perkins, Potter, Roberts, Sanborn, Spink, Stanley, Tripp, Union, Yankton)"
"Ambrosia acanthicarpa","flatspine bur ragweed","SD(Bennett, Custer)"
"Ambrosia artemisiifolia","annual ragweed","SD(Beadle, Bon Homme, Brown, Brule, Campbell, Charles Mix, Clay, Codington, Hand, Jerauld, Jones, Lawrence, Lincoln, Meade, Pennington, Potter, Spink, Tripp, Union)"
"Ambrosia artemisiifolia var. elatior","annual ragweed","SD(Beadle, Bon Homme, Brown, Brule, Campbell, Charles Mix, Clay, Codington, Hand, Jerauld, Jones, Lawrence, Lincoln, Meade, Pennington, Potter, Spink, Tripp, Union)"
"Ambrosia psilostachya","Cuman ragweed","SD(Aurora, Beadle, Custer, Davison, Fall River, Faulk, Gregory, Hand, Harding, Hughes, Hyde, Marshall, Miner, Perkins, Sanborn)"
"Ambrosia tomentosa","skeletonleaf bur ragweed","SD(Fall River, Pennington)"
"Ambrosia trifida","great ragweed","SD(Brookings, Buffalo, Campbell, Codington, Corson, Davison, Day, Douglas, Fall River, Gregory, Hamlin, Harding, Hughes, Hyde, Lawrence, Lincoln, Meade, Pennington, Perkins, Roberts, Sanborn, Stanley, Union, Yankton)"
"Ambrosia trifida var. trifida","great ragweed","SD(Brookings, Buffalo, Campbell, Codington, Corson, Davison, Day, Douglas, Fall River, Gregory, Hamlin, Harding, Hughes, Hyde, Lawrence, Lincoln, Meade, Pennington, Perkins, Roberts, Sanborn, Stanley, Union, Yankton)"
"Amelanchier","serviceberry","SD(Bennett, Bon Homme, Brule, Campbell, Charles Mix, Clay, Codington, Corson, Custer, Day, Fall River, Gregory, Haakon, Harding, Hutchinson, Jerauld, Lawrence, Lincoln, Lyman, Marshall, McCook, Minnehaha, Pennington, Roberts, Stanley, Todd, Union, Walworth)"
"Amelanchier alnifolia","Saskatoon serviceberry","SD(Bennett, Bon Homme, Brule, Campbell, Codington, Corson, Custer, Fall River, Haakon, Harding, Lawrence, Lincoln, Lyman, Marshall, McCook, Pennington, Roberts, Stanley, Todd, Walworth)"
"Amelanchier alnifolia var. alnifolia","Saskatoon serviceberry","SD(Bennett, Bon Homme, Brule, Campbell, Codington, Corson, Custer, Fall River, Haakon, Harding, Lawrence, Lincoln, Lyman, Marshall, McCook, Pennington, Roberts, Stanley, Todd, Walworth)"
"Amelanchier humilis","low serviceberry","SD(Bennett, Brule, Charles Mix, Clay, Codington, Corson, Custer, Day, Gregory, Harding, Hutchinson, Jerauld, Lawrence, Marshall, Minnehaha, Pennington, Roberts, Stanley, Todd, Union)"
"Ammannia","redstem","SD(Aurora, Beadle, Brookings, Brule, Charles Mix, Clay, Faulk, Gregory, Hughes, Hutchinson, Hyde, Jackson, Jerauld, Mellette, Pennington, Sanborn, Spink, Union)"
"Ammannia auriculata","eared redstem","SD(Spink)"
"Ammannia coccinea","valley redstem","SD(Aurora, Beadle, Brookings, Brule, Charles Mix, Clay, Faulk, Gregory, Hughes, Hutchinson, Hyde, Jackson, Jerauld, Mellette, Pennington, Sanborn, Spink, Union)"
