"","",""
"Amelanchier arborea var. arborea","common serviceberry","MA(Barnstable, Berkshire, Bristol, Dukes, Essex, Franklin, Hampden, Hampshire, Middlesex, Nantucket, Norfolk, Plymouth, Suffolk, Worcester)"
"Amelanchier bartramiana","oblongfruit serviceberry","MA(Berkshire, Worcester)"
"Amelanchier canadensis","Canadian serviceberry","MA(Barnstable, Berkshire, Bristol, Dukes, Essex, Franklin, Hampden, Hampshire, Middlesex, Nantucket, Norfolk, Plymouth, Suffolk, Worcester)"
"Amelanchier laevis","Allegheny serviceberry","MA(Barnstable, Berkshire, Bristol, Dukes, Essex, Franklin, Hampden, Hampshire, Middlesex, Nantucket, Norfolk, Plymouth, Suffolk, Worcester)"
"Amelanchier nantucketensis","Nantucket serviceberry","MA(Berkshire, Dukes, Franklin, Hampden, Nantucket, Norfolk, Plymouth)"
"Amelanchier obovalis","coastal serviceberry","MA(Barnstable)"
"Amelanchier sanguinea","roundleaf serviceberry","MA(Berkshire, Franklin, Hampshire, Middlesex, Worcester)"
"Amelanchier sanguinea var. sanguinea","roundleaf serviceberry","MA(Berkshire, Franklin, Middlesex)"
"Amelanchier stolonifera","running serviceberry","MA(Barnstable, Berkshire, Bristol, Dukes, Essex, Franklin, Hampden, Hampshire, Middlesex, Nantucket, Norfolk, Plymouth, Suffolk, Worcester)"
"Ammophila","beachgrass","MA(Barnstable, Bristol, Dukes, Essex, Hampden, Middlesex, Nantucket, Norfolk, Plymouth, Suffolk, Worcester)"
"Ammophila breviligulata","American beachgrass","MA(Barnstable, Bristol, Dukes, Essex, Hampden, Middlesex, Nantucket, Norfolk, Plymouth, Suffolk, Worcester)"
"Amorpha","false indigo","MA(Barnstable, Berkshire, Essex, Franklin, Hampden, Hampshire, Middlesex, Nantucket, Norfolk, Plymouth, Suffolk, Worcester)"
"Amorpha fruticosa","false indigo bush","MA(Barnstable, Berkshire, Essex, Franklin, Hampden, Hampshire, Middlesex, Nantucket, Norfolk, Plymouth, Suffolk, Worcester)"
"Ampelopsis","peppervine","MA(Barnstable, Bristol, Dukes, Essex, Hampshire, Middlesex, Nantucket, Norfolk, Plymouth, Suffolk, Worcester)"
"Ampelopsis brevipedunculata","Amur peppervine","MA(Barnstable, Bristol, Dukes, Essex, Hampshire, Middlesex, Nantucket, Norfolk, Plymouth, Suffolk, Worcester)"
