"Aristida","threeawn","DC(District of Columbia)"
"Aristida dichotoma","churchmouse threeawn","DC(District of Columbia)"
"Aristida dichotoma var. curtissii","Curtis' threeawn","DC(District of Columbia)"
"Aristida dichotoma var. dichotoma","churchmouse threeawn","DC(District of Columbia)"
"Aristida longespica","slimspike threeawn","DC(District of Columbia)"
"Aristida longespica var. longespica","slimspike threeawn","DC(District of Columbia)"
"Aristida oligantha","prairie threeawn","DC(District of Columbia)"
"Aristida purpurascens","arrowfeather threeawn","DC(District of Columbia)"
"Aristida purpurascens var. purpurascens","arrowfeather threeawn","DC(District of Columbia)"
"Aristolochia","dutchman's pipe","DC(District of Columbia)"
"Aristolochia serpentaria","Virginia snakeroot","DC(District of Columbia)"
"Armoracia","armoracia","DC(District of Columbia)"
"Armoracia rusticana","horseradish","DC(District of Columbia)"
"Arnica","arnica","DC(District of Columbia)"
"Arnica acaulis","common leopardbane","DC(District of Columbia)"
"Arnoglossum","Indian plantain","DC(District of Columbia)"
"Arnoglossum atriplicifolium","pale Indian plantain","DC(District of Columbia)"
"Arnoglossum reniforme","great Indian plantain","DC(District of Columbia)"
"Aronia","","DC(District of Columbia)"
"Aronia ×prunifolia","purple chokeberry","DC(District of Columbia)"
"Aronia arbutifolia","red chokeberry","DC(District of Columbia)"
"Aronia melanocarpa","black chokeberry","DC(District of Columbia)"
"Arrhenatherum","oatgrass","DC(District of Columbia)"
"Arrhenatherum elatius","tall oatgrass","DC(District of Columbia)"
"Arrhenatherum elatius var. elatius","tall oatgrass","DC(District of Columbia)"
"Artemisia","sagebrush","DC(District of Columbia)"
"Artemisia annua","sweet sagewort","DC(District of Columbia)"
"Artemisia stelleriana","oldwoman","DC(District of Columbia)"
"Arthraxon","carpetgrass","DC(District of Columbia)"
"Arthraxon hispidus","small carpetgrass","DC(District of Columbia)"
"Aruncus","aruncus","DC(District of Columbia)"
"Aruncus dioicus","bride's feathers","DC(District of Columbia)"
"Aruncus dioicus var. dioicus","bride's feathers","DC(District of Columbia)"
"Asarum","wildginger","DC(District of Columbia)"
"Asarum canadense","Canadian wildginger","DC(District of Columbia)"
"Asclepias","milkweed","DC(District of Columbia)"
"Asclepias amplexicaulis","clasping milkweed","DC(District of Columbia)"
"Asclepias incarnata","swamp milkweed","DC(District of Columbia)"
"Asclepias incarnata ssp. pulchra","swamp milkweed","DC(District of Columbia)"
"Asclepias purpurascens","purple milkweed","DC(District of Columbia)"
"Asclepias rubra","red milkweed","DC(District of Columbia)"
"Asclepias syriaca","common milkweed","DC(District of Columbia)"
"Asclepias tuberosa","butterfly milkweed","DC(District of Columbia)"
"Asclepias tuberosa ssp. tuberosa","butterfly milkweed","DC(District of Columbia)"
"Asclepias variegata","redring milkweed","DC(District of Columbia)"
"Asclepias verticillata","whorled milkweed","DC(District of Columbia)"
"Asclepias viridiflora","green comet milkweed","DC(District of Columbia)"
"Asimina","pawpaw","DC(District of Columbia)"
"Asimina triloba","pawpaw","DC(District of Columbia)"
"Asparagus","asparagus","DC(District of Columbia)"
"Asparagus officinalis","garden asparagus","DC(District of Columbia)"
"Asperugo","German-madwort","DC(District of Columbia)"
"Asperugo procumbens","German-madwort","DC(District of Columbia)"
"Asperula","woodruff","DC(District of Columbia)"
