"","","",""
"Apios","groundnut","NH(Belknap, Carroll, Cheshire, Coos, Grafton, Hillsborough, Merrimack, Rockingham, Strafford, Sullivan)",""
"Apios americana","groundnut","NH(Belknap, Carroll, Cheshire, Coos, Grafton, Hillsborough, Merrimack, Rockingham, Strafford, Sullivan)",""
"Apocynum","dogbane","NH(Belknap, Carroll, Cheshire, Coos, Grafton, Hillsborough, Merrimack, Rockingham, Strafford, Sullivan)",""
"Apocynum ×floribundum","","NH(Carroll, Cheshire, Coos, Sullivan)",""
"Apocynum androsaemifolium","spreading dogbane","NH(Belknap, Carroll, Cheshire, Coos, Grafton, Hillsborough, Merrimack, Rockingham, Strafford, Sullivan)",""
"Apocynum cannabinum","Indianhemp","NH(Carroll, Cheshire, Coos, Grafton, Hillsborough, Merrimack, Rockingham, Strafford, Sullivan)",""
"Aquilegia","columbine","NH(Belknap, Carroll, Cheshire, Coos, Grafton, Hillsborough, Merrimack, Rockingham, Strafford)",""
"Aquilegia canadensis","red columbine","NH(Belknap, Carroll, Cheshire, Coos, Grafton, Hillsborough, Merrimack, Rockingham, Strafford)",""
"Aquilegia vulgaris","European columbine","NH(Carroll, Coos, Grafton, Hillsborough, Merrimack, Strafford)",""
"Arabidopsis","rockcress","NH(Rockingham, Strafford)",""
"Arabidopsis thaliana","mouseear cress","NH(Rockingham, Strafford)",""
"Arabis","rockcress","NH(Belknap, Carroll, Cheshire, Coos, Grafton, Hillsborough, Rockingham, Strafford, Sullivan)",""
"Arabis canadensis","sicklepod","NH(Hillsborough, Rockingham)",""
"Arabis drummondii","Drummond's rockcress","NH(Belknap, Carroll, Cheshire, Coos, Grafton, Hillsborough, Rockingham, Strafford, Sullivan)",""
"Arabis glabra","tower rockcress","NH(Carroll, Cheshire, Coos, Grafton, Hillsborough, Rockingham, Strafford)",""
"Arabis hirsuta","hairy rockcress","NH(Coos, Grafton)",""
"Arabis hirsuta var. pycnocarpa","creamflower rockcress","NH(Coos, Grafton)",""
"Arabis missouriensis","green rockcress","NH(Carroll, Grafton, Rockingham, Strafford)",""
"Aralia","spikenard","NH(Belknap, Carroll, Cheshire, Coos, Grafton, Hillsborough, Merrimack, Rockingham, Strafford, Sullivan)",""
"Aralia hispida","bristly sarsaparilla","NH(Belknap, Carroll, Cheshire, Coos, Grafton, Hillsborough, Merrimack, Rockingham, Strafford, Sullivan)",""
"Aralia nudicaulis","wild sarsaparilla","NH(Belknap, Carroll, Cheshire, Coos, Grafton, Hillsborough, Merrimack, Rockingham, Strafford, Sullivan)",""
"Aralia racemosa","American spikenard","NH(Belknap, Carroll, Cheshire, Coos, Grafton, Hillsborough, Merrimack, Rockingham, Strafford, Sullivan)",""
"Aralia racemosa ssp. racemosa","American spikenard","NH(Belknap, Carroll, Cheshire, Coos, Grafton, Hillsborough, Merrimack, Rockingham, Strafford, Sullivan)",""
"Arceuthobium","dwarf mistletoe","NH(Carroll, Cheshire, Coos, Grafton, Hillsborough, Merrimack, Rockingham)",""
"Arceuthobium pusillum","eastern dwarf mistletoe","NH(Carroll, Cheshire, Coos, Grafton, Hillsborough, Merrimack, Rockingham)",""
"Arctium","burdock","NH(Carroll, Cheshire, Coos, Grafton, Hillsborough, Merrimack, Rockingham, Strafford, Sullivan)",""
"Arctium lappa","greater burdock","NH(Cheshire, Coos, Grafton, Merrimack, Sullivan)",""
"Arctium minus","lesser burdock","NH(Carroll, Cheshire, Coos, Grafton, Hillsborough, Merrimack, Rockingham, Strafford, Sullivan)",""
"Arctium tomentosum","woolly burdock","NH(Carroll, Coos, Hillsborough)",""
"Arctostaphylos","manzanita","NH(Carroll, Coos, Grafton, Hillsborough, Rockingham, Strafford)",""
"Arctostaphylos alpina","alpine bearberry","NH(Coos)",""
"Arctostaphylos alpina var. alpina","alpine bearberry","NH(Coos)",""
"Arctostaphylos uva-ursi","kinnikinnick","NH(Carroll, Coos, Grafton, Hillsborough, Rockingham, Strafford)",""
"Arenaria","sandwort","NH(Rockingham, Strafford)",""
"Arenaria serpyllifolia","thymeleaf sandwort","NH(Rockingham, Strafford)",""
"Arethusa","dragon's mouth","NH(Belknap, Carroll, Cheshire, Grafton, Hillsborough, Merrimack, Rockingham)",""
"Arethusa bulbosa","dragon's mouth","NH(Belknap, Carroll, Cheshire, Grafton, Hillsborough, Merrimack, Rockingham)",""
"Argentina","silverweed","NH(Carroll, Rockingham, Strafford)",""
"Argentina anserina","silverweed cinquefoil","NH(Carroll, Rockingham, Strafford)",""
"Arisaema","Jack in the pulpit","NH(Belknap, Carroll, Cheshire, Coos, Grafton, Hillsborough, Merrimack, Rockingham, Strafford, Sullivan)",""
"Arisaema triphyllum","Jack in the pulpit","NH(Belknap, Carroll, Cheshire, Coos, Grafton, Hillsborough, Merrimack, Rockingham, Strafford, Sullivan)",""
"Aristida","threeawn","NH(Carroll, Cheshire, Coos, Grafton, Hillsborough, Merrimack, Rockingham, Strafford, Sullivan)",""
"Aristida basiramea","forked threeawn","NH(Carroll, Coos, Grafton, Hillsborough, Merrimack, Rockingham, Strafford)",""
"Aristida dichotoma","churchmouse threeawn","NH(Cheshire, Hillsborough, Rockingham, Strafford, Sullivan)",""
"Aristida dichotoma var. dichotoma","churchmouse threeawn","NH(Cheshire, Hillsborough, Rockingham, Strafford, Sullivan)",""
"Aristida longespica","slimspike threeawn","NH(Cheshire, Hillsborough, Rockingham)",""
"Aristida longespica var. geniculata","slimspike threeawn","NH(Cheshire, Hillsborough, Rockingham)",""
"Aristida oligantha","prairie threeawn","NH(Rockingham)",""
"Aristida tuberculosa","seaside threeawn","NH(Rockingham)",""
"Armoracia","armoracia","NH(Carroll, Coos, Hillsborough, Strafford)",""
"Armoracia rusticana","horseradish","NH(Carroll, Coos, Hillsborough, Strafford)",""
"Arnica","arnica","NH(Carroll, Coos)",""
"Arnica lanceolata","lanceleaf arnica","NH(Carroll, Coos)",""
"Aronia","","NH(Belknap, Carroll, Cheshire, Coos, Grafton, Hillsborough, Merrimack, Rockingham, Strafford, Sullivan)",""
"Aronia ×prunifolia","purple chokeberry","NH(Belknap, Carroll, Cheshire, Coos, Grafton, Hillsborough, Merrimack, Rockingham, Strafford, Sullivan)",""
