"","",""
"Anthemis","chamomile","IA(Adair, Audubon, Cherokee, Crawford, Guthrie, Harrison, Ida, Lyon, Mahaska, Montgomery, O'Brien, Osceola, Shelby, Sioux, Story, Taylor, Webster)"
"Anthemis cotula","stinking chamomile","IA(Adair, Audubon, Cherokee, Crawford, Guthrie, Harrison, Ida, Lyon, Mahaska, Montgomery, O'Brien, Osceola, Shelby, Sioux, Story, Taylor, Webster)"
"Apios","groundnut","IA(Allamakee, Fremont, Guthrie, Palo Alto, Ringgold, Taylor, Webster, Winneshiek)"
"Apios americana","groundnut","IA(Allamakee, Fremont, Guthrie, Palo Alto, Ringgold, Taylor, Webster, Winneshiek)"
"Aplectrum","Adam and Eve","IA(Clayton, Fayette, Johnson)"
"Aplectrum hyemale","Adam and Eve","IA(Clayton, Fayette, Johnson)"
"Apocynum","dogbane","IA(Audubon, Clay, Crawford, Fremont, Harrison, Ida, Iowa, Lyon, Madison, Mills, Monona, Montgomery, O'Brien, Osceola, Plymouth, Pottawattamie, Ringgold, Shelby, Sioux, Story, Taylor, Union, Webster, Winneshiek, Woodbury)"
"Apocynum androsaemifolium","spreading dogbane","IA(Crawford, Madison, Pottawattamie, Story, Union, Webster, Winneshiek)"
"Apocynum cannabinum","Indianhemp","IA(Audubon, Clay, Crawford, Fremont, Harrison, Ida, Iowa, Lyon, Madison, Mills, Monona, Montgomery, O'Brien, Osceola, Plymouth, Pottawattamie, Ringgold, Shelby, Sioux, Taylor, Woodbury)"
"Aquilegia","columbine","IA(Adair, Cherokee, Clayton, Crawford, Fremont, Guthrie, Harrison, Lyon, Madison, Monona, O'Brien, Osceola, Page, Plymouth, Pottawattamie, Ringgold, Shelby, Sioux, Taylor, Union, Washington, Webster, Winneshiek, Woodbury)"
"Aquilegia canadensis","red columbine","IA(Adair, Cherokee, Clayton, Crawford, Fremont, Guthrie, Harrison, Lyon, Madison, Monona, O'Brien, Osceola, Page, Plymouth, Pottawattamie, Ringgold, Shelby, Sioux, Taylor, Union, Washington, Webster, Winneshiek, Woodbury)"
"Arabis","rockcress","IA(Adair, Cherokee, Emmet, Fayette, Fremont, Guthrie, Johnson, Lyon, Madison, Mills, Monona, Muscatine, O'Brien, Page, Plymouth, Pottawattamie, Sioux, Webster, Woodbury)"
"Arabis ×divaricarpa","spreadingpod rockcress","IA(Emmet)"
"Arabis canadensis","sicklepod","IA(Adair, Fremont, Guthrie, Lyon, Madison, Mills, Monona, Page, Pottawattamie, Webster, Woodbury)"
"Arabis drummondii","Drummond's rockcress","IA(Fayette, Johnson)"
"Arabis hirsuta","hairy rockcress","IA(Lyon, O'Brien, Plymouth)"
"Arabis hirsuta var. pycnocarpa","creamflower rockcress","IA(Lyon, O'Brien, Plymouth)"
"Arabis shortii","Short's rockcress","IA(Cherokee, Muscatine, Pottawattamie, Sioux)"
"Aralia","spikenard","IA(Cass, Delaware, Fremont, Guthrie, Madison, Monona, Shelby, Washington, Webster)"
"Aralia nudicaulis","wild sarsaparilla","IA(Delaware, Madison, Washington)"
"Aralia racemosa","American spikenard","IA(Cass, Fremont, Guthrie, Monona, Shelby, Webster)"
"Aralia racemosa ssp. racemosa","American spikenard","IA(Cass, Fremont, Guthrie, Monona, Shelby, Webster)"
"Arctium","burdock","IA(Adair, Cherokee, Guthrie, Monona, Palo Alto)"
"Arctium minus","lesser burdock","IA(Adair, Cherokee, Guthrie, Monona, Palo Alto)"
"Argentina","silverweed","IA(Harrison, Pottawattamie)"
"Argentina anserina","silverweed cinquefoil","IA(Harrison, Pottawattamie)"
"Arisaema","Jack in the pulpit","IA(Cherokee, Fremont, Guthrie, Harrison, Lyon, Madison, Mills, Monona, O'Brien, Page, Plymouth, Pottawattamie, Shelby, Story, Taylor, Union, Washington, Webster, Winneshiek)"
"Arisaema dracontium","green dragon","IA(Fremont, Madison, Page, Pottawattamie, Taylor, Union, Webster, Winneshiek)"
"Arisaema triphyllum","Jack in the pulpit","IA(Cherokee, Fremont, Guthrie, Harrison, Lyon, Mills, Monona, O'Brien, Plymouth, Pottawattamie, Shelby, Story, Washington, Webster, Winneshiek)"
"Aristida","threeawn","IA(Adams, Allamakee, Appanoose, Audubon, Boone, Calhoun, Cherokee, Clarke, Clay, Clinton, Dallas, Davis, Decatur, Dickinson, Emmet, Fremont, Guthrie, Hardin, Harrison, Henry, Iowa, Jasper, Jefferson, Johnson, Lee, Lucas, Lyon, Madison, Marion, Mills, Monona, Monroe, Montgomery, Muscatine, O'Brien, Page, Palo Alto, Plymouth, Polk, Pottawattamie, Poweshiek, Ringgold, Sioux, Story, Union, Van Buren, Wapello, Warren, Washington, Wayne, Webster, Woodbury, Wright)"
"Aristida basiramea","forked threeawn","IA(Allamakee, Calhoun, Cherokee, Dickinson, Guthrie, Johnson, Marion, Muscatine, Story, Van Buren, Wapello, Warren, Washington, Webster)"
"Aristida dichotoma","churchmouse threeawn","IA(Cherokee, Clinton, Davis, Guthrie, Hardin, Iowa, Johnson, Lee, Lyon, Madison, Marion, Van Buren, Wapello)"
"Aristida dichotoma var. curtissii","Curtis' threeawn","IA(Cherokee, Clinton, Davis, Guthrie, Hardin, Iowa, Johnson, Lyon, Marion)"
"Aristida dichotoma var. dichotoma","churchmouse threeawn","IA(Davis, Lee, Madison, Van Buren, Wapello)"
"Aristida longespica","slimspike threeawn","IA(Davis, Lee, Pottawattamie, Van Buren, Wapello)"
"Aristida oligantha","prairie threeawn","IA(Adams, Appanoose, Audubon, Boone, Clarke, Dallas, Davis, Decatur, Fremont, Guthrie, Harrison, Henry, Iowa, Jasper, Jefferson, Lee, Lucas, Madison, Marion, Mills, Monona, Monroe, Montgomery, O'Brien, Page, Palo Alto, Polk, Pottawattamie, Poweshiek, Ringgold, Story, Union, Van Buren, Wapello, Warren, Washington, Wayne, Webster, Woodbury, Wright)"
"Aristida purpurea","purple threeawn","IA(Clay, Emmet, Lyon, O'Brien, Plymouth, Sioux, Woodbury)"
"Aristida purpurea var. longiseta","Fendler threeawn","IA(Clay, Emmet, Lyon, O'Brien, Plymouth, Sioux, Woodbury)"
"Armoracia","armoracia","IA(Adair, Plymouth, Pottawattamie, Shelby)"
"Armoracia rusticana","horseradish","IA(Adair, Plymouth, Pottawattamie, Shelby)"
"Arnoglossum","Indian plantain","IA(Adair, Adams, Audubon, Cass, Cherokee, Fremont, Harrison, Mills, Monona, Montgomery, O'Brien, Page, Pottawattamie, Ringgold, Story, Taylor, Union)"
"Arnoglossum atriplicifolium","pale Indian plantain","IA(Cass, Fremont, Page, Pottawattamie, Ringgold, Taylor)"
"Arnoglossum plantagineum","groovestem Indian plantain","IA(Adair, Adams, Audubon, Cass, Cherokee, Fremont, Harrison, Mills, Monona, Montgomery, O'Brien, Page, Pottawattamie, Ringgold, Story, Taylor, Union)"
"Arrhenatherum","oatgrass","IA(Dickinson, Page)"
